,City Name,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
63,Port Elizabeth,39.31,-74.98,73.99,68,1,3.91,1565582622
64,Caravelas,-17.73,-39.27,71.44,87,0,6.44,1565582393
65,Otradnoye,59.77,30.8,61,93,75,2.24,1565582622
66,Guarapari,-20.67,-40.5,73.4,83,40,4.7,1565582623
67,Itabaiana,-10.69,-37.43,78.8,74,40,11.41,1565582623
68,Wetaskiwin,52.97,-113.37,57,93,90,8.05,1565582623
69,Bethel,60.79,-161.76,62.6,82,90,8.05,1565582624
70,Qaanaaq,77.48,-69.36,40.12,75,85,1.12,1565582624
71,Bluff,-23.58,149.07,66.75,29,0,4.9,1565582441
72,Blonie,52.2,20.62,66.99,87,0,3.36,1565582625
73,Saskylakh,71.97,114.09,73.42,39,0,10.51,1565582626
74,Puerto Ayora,-0.74,-90.35,64.99,97,0,7.96,1565582627
75,Baykit,61.68,96.39,53.25,62,100,9.75,1565582627
76,Muisne,0.61,-80.02,74.32,80,1,11.65,1565582627
77,Norman Wells,65.28,-126.83,55.4,66,75,5.82,1565582628
78,Airai,-8.93,125.41,87.1,39,71,1.43,1565582628
79,Manicore,-5.81,-61.3,81.34,46,93,2.39,1565582628
80,Takoradi,4.89,-1.75,70.72,94,70,4.09,1565582629
81,Vieques,18.43,-65.83,82.4,83,75,12.06,1565582629
82,Svetlogorsk,53.14,59.15,62.6,77,75,6.71,1565582630
83,Albany,42.65,-73.75,66.2,68,20,6.17,1565582630
84,Nemuro,43.32,145.57,66.2,82,75,14.99,1565582630
85,Huarmey,-10.07,-78.15,59.2,88,73,20.36,1565582631
86,Sisimiut,66.94,-53.67,47.67,62,19,4.74,1565582631
87,Provideniya,64.42,-173.23,55.4,93,90,11.18,1565582631
88,Vanavara,60.35,102.28,55.05,98,100,8.84,1565582632
89,Solnechnyy,50.72,136.64,75.94,47,64,3.8,1565582632
90,Margate,-43.03,147.26,55.4,58,75,10.29,1565582632
91,Kambove,-10.88,26.6,51.45,59,0,4.52,1565582633
92,Maypangdan,11.65,125.45,89.07,55,82,10.92,1565582633
93,Tiksi,71.64,128.87,60.64,59,0,5.95,1565582634
94,Porto Novo,-23.68,-45.44,62.6,93,0,2.24,1565582634
95,Mandera,3.94,41.86,75,88,1,3,1565582635
96,Paamiut,61.99,-49.67,45.15,74,78,9.98,1565582635
97,Ribeira Grande,38.52,-28.7,70.17,82,69,11.25,1565582635
98,Lorengau,-2.02,147.27,81.87,76,91,3.51,1565582636
99,Tazovskiy,67.47,78.7,44.25,74,40,10.02,1565582636
100,Gizo,31.8,34.94,75.2,47,0,5.82,1565582637
101,Los Llanos De Aridane,28.66,-17.92,73.4,69,40,12.75,1565582637
102,Coquimbo,-29.95,-71.34,50,71,0,5.82,1565582638
103,Nhulunbuy,-12.18,136.78,77,44,20,19.46,1565582638
104,Necochea,-38.55,-58.74,39,87,67,1.99,1565582469
105,Qasigiannguit,68.82,-51.19,39.04,61,100,10.63,1565582639
106,Kpandae,8.46,-0.01,72.87,86,45,3.69,1565582639
107,Pacific Grove,36.62,-121.92,73.99,72,1,4.7,1565582639
108,Vanimo,-2.67,141.3,81.7,77,95,12.73,1565582640
109,San Quintin,17.54,120.52,80.97,86,100,15.12,1565582640
110,Pueblo Bello,8.2,-76.53,76.3,98,100,2.01,1565582640
111,Rawson,-43.3,-65.11,37.24,64,92,12.12,1565582641
112,Longyearbyen,78.22,15.63,41,65,40,5.82,1565582641
113,Hobart,-42.88,147.33,55.4,58,75,10.29,1565582426
114,Pisco,-13.71,-76.2,55.99,87,75,3.36,1565582642
115,Chazuta,-6.57,-76.13,62.6,290,40,2.24,1565582642
116,Salsomaggiore Terme,44.81,9.98,75,70,0,4,1565582642
117,Mar Del Plata,-46.43,-67.52,30.04,59,0,13.96,1565582643
118,Souillac,45.6,-0.6,60.01,93,3,2.24,1565582643
119,Banda Aceh,5.56,95.32,84.57,70,100,22.17,1565582644
120,Faanui,-16.48,-151.75,79.35,81,0,12.59,1565582644
121,Marquette,46.54,-87.4,66.2,82,90,0.81,1565582644
122,Nabire,-3.36,135.5,80.44,69,100,4.38,1565582645
123,Vaini,15.34,74.49,71.6,100,75,9.17,1565582645
124,Port Alfred,-33.59,26.89,55.99,69,55,4,1565582646
125,San Patricio,-26.98,-56.83,61.72,86,34,4.68,1565582646
126,Komsomolskiy,67.55,63.78,39.57,75,100,12.53,1565582646
127,Mweka,-4.85,21.56,72.7,77,22,1.81,1565582647
128,Luau,-10.7,22.23,61,37,9,4.12,1565582647
129,Cape Town,-33.93,18.42,54,76,75,5.82,1565582379
130,Laguna,16.17,-88.94,80.6,94,75,3.78,1565582647
131,Hualmay,-11.1,-77.61,58.84,87,88,18.25,1565582648
132,Khandyga,62.65,135.58,71.62,36,92,3.24,1565582648
133,Kochevo,42.1,24.92,60.8,72,0,3.71,1565582648
134,Sabya,17.15,42.62,87.8,74,40,13.87,1565582649
135,Sunrise Manor,36.21,-115.07,93.2,8,1,6.93,1565582649
136,Victoria,5.28,115.24,91.4,74,75,3.36,1565582650
137,Saint-Pierre,48.95,4.24,55.4,100,0,10.29,1565582650
138,Tari,12.41,4.49,77.55,77,0,10.25,1565582651
139,Torres,-29.34,-49.73,59.55,89,49,4.74,1565582624
140,Santa Vitoria,-7.82,-67.03,75.94,50,3,0.96,1565582652
141,Port Macquarie,-31.43,152.91,66.99,47,90,11.41,1565582652
142,Yerbogachen,61.28,108.01,68.92,50,100,12.19,1565582653
143,Teonthar,24.98,81.65,86.55,65,81,11.61,1565582653
144,Krasnyy Chikoy,50.36,108.75,54.52,79,100,6.96,1565582653
145,Goderich,43.74,-81.71,71.01,84,0,10.74,1565582654
146,Bathsheba,13.22,-59.52,80.6,78,75,8.05,1565582654
147,Kondinskoye,59.65,67.41,66.75,84,100,12.73,1565582654
148,Camocim,-2.9,-40.84,70.54,86,0,4.03,1565582654
149,Lagoa,37.14,-8.45,66.2,48,0,8.05,1565582655
150,Port Blair,11.67,92.75,78.8,88,90,8.05,1565582586
151,Turka,52.95,108.22,46.77,89,67,21.63,1565582655
152,Kardzhin,43.27,44.28,60.8,93,0,4.47,1565582656
153,Khatanga,71.98,102.47,77.02,36,0,9.78,1565582656
154,Mahebourg,-20.41,57.7,73,94,75,10.29,1565582656
155,Mehamn,71.03,27.85,49.47,96,100,3.58,1565582657
156,Marystown,47.17,-55.16,59.74,90,12,13.42,1565582538
157,Moranbah,-22,148.04,66.94,23,0,7.87,1565582657
158,Andapa,-14.66,49.65,50.55,84,1,3.2,1565582657
159,Angoche,-16.23,39.91,64.24,95,0,2.28,1565582549
160,Hermanus,-34.42,19.24,54,81,37,4,1565582658
161,Hithadhoo,-0.6,73.08,83.67,77,100,15.9,1565582658
162,San Angelo,31.46,-100.44,89.6,31,1,6.93,1565582658
163,Oum Hadjer,13.3,19.7,76.12,86,48,6.93,1565582659
164,Nanortalik,60.14,-45.24,44.97,73,45,10.6,1565582659
165,Vestmannaeyjar,63.44,-20.27,46.42,77,100,28.43,1565582659
166,Comodoro Rivadavia,-45.87,-67.48,37.4,64,75,13.87,1565582659
167,Verkhnevilyuysk,63.45,120.31,76.12,48,0,0.94,1565582660
168,Cabo San Lucas,22.89,-109.91,82,65,40,2.19,1565582541
169,Orneta,54.12,20.13,63.52,71,100,12.12,1565582421
170,Aklavik,68.22,-135.01,51.8,71,90,5.82,1565582661
171,Morozovsk,48.35,41.83,59.92,74,0,5.01,1565582661
172,Yining,29.04,114.56,92.5,56,33,1.03,1565582662
173,Palaikastron,35.2,26.25,81,51,0,14,1565582662
174,Tura,64.27,100.22,60.1,50,100,8.23,1565582662
175,Malinovskiy,54.15,34.53,53.07,96,8,2.8,1565582663
176,Lavrentiya,65.58,-170.99,47.67,97,100,5.99,1565582663
177,Kavaratti,10.57,72.64,82.77,77,37,18.21,1565582663
178,Salinopolis,-0.61,-47.36,81.87,78,0,17.54,1565582663
179,Winneba,5.35,-0.62,73.4,88,0,8.05,1565582664
180,Camacha,33.08,-16.33,71.6,73,40,13.87,1565582664
181,Sorland,67.67,12.69,57.2,82,0,2.24,1565582665
182,Saravan,39.72,45.65,71.6,53,0,4.7,1565582665
183,Barguzin,53.62,109.63,46.05,91,100,4.85,1565582665
184,Kenai,60.55,-151.26,75.2,38,1,6.93,1565582665
185,Gerash,27.67,54.14,86,40,0,1.97,1565582666
186,Goundam,16.42,-3.66,89.62,44,6,16.75,1565582666
187,Nome,30.04,-94.42,86,94,1,4.7,1565582666
188,Urubamba,-13.31,-72.12,46.4,77,0,6.93,1565582667
189,Kotelniki,55.66,37.87,55.99,93,20,1.05,1565582667
190,Moree,-29.46,149.84,59,41,0,9.17,1565582667
191,Kahului,20.89,-156.47,89.6,52,40,19.46,1565582667
192,Stokmarknes,68.56,14.91,57.99,87,0,9.17,1565582668
193,Kavieng,-2.57,150.8,81.7,70,62,3.94,1565582668
194,Igrim,63.19,64.42,58.3,98,100,5.95,1565582668
195,Kaitangata,-46.28,169.85,51.01,52,80,8.01,1565582669
196,Verkhoyansk,67.55,133.39,76.12,32,0,9.4,1565582670
197,Costinesti,43.95,28.63,72,77,0,6.93,1565582670
198,Mount Isa,-20.73,139.49,68,22,0,13.87,1565582671
199,Kirakira,-10.46,161.92,84.22,70,87,4.21,1565582671
200,Ballinasloe,53.33,-8.22,45.7,94,0,5.08,1565582671
201,Cabo Rojo,18.09,-67.15,80.01,71,0,14.63,1565582672
202,Mirnyy,56.57,36.46,51.27,84,74,3.76,1565582672
203,Chaman,30.92,66.46,85.3,47,0,4.76,1565582673
204,Tara,33,130.15,97,43,40,5.82,1565582673
205,Carnarvon,-30.97,22.13,35.97,96,44,6.17,1565582673
206,Flinders,-34.58,150.85,66,31,40,8.05,1565582674
207,Tanete,-3.94,119.78,85.3,65,73,12.53,1565582675
208,Castro,-42.48,-73.76,42.8,93,90,3.36,1565582675
209,Ballina,54.11,-9.15,52,92,14,15.79,1565582675
210,Katsuura,33.93,134.5,91.4,59,75,9.17,1565582676
211,Muroto,33.37,134.14,89.6,62,75,8.05,1565582676
212,Bacungan,9.87,118.73,87.8,74,20,11.41,1565582676
213,Alyangula,-13.85,136.42,77,38,100,12.75,1565582677
214,Tabou,4.42,-7.36,72.87,80,97,4.34,1565582677
215,Mitsamiouli,-11.38,43.28,77.74,70,0,11.92,1565582677
216,Panguna,-6.32,155.48,82.42,72,31,6.6,1565582678
217,Mount Gambier,-37.83,140.78,48.2,87,75,13.87,1565582678
218,Phuket,7.89,98.4,87.8,62,20,9.17,1565582420
219,Mwingi,-0.93,38.07,59.2,88,65,6.17,1565582678
220,Yantal,56.85,105.25,59.02,70,58,11.83,1565582679
221,Vao,59.1,26.19,56.85,96,8,9.24,1565582679
222,Atambua,-9.11,124.89,79.35,67,14,10.25,1565582679
223,Iqaluit,63.75,-68.52,41,86,5,5.82,1565582680
224,Nanhai,30.13,111.78,89.07,62,0,4.12,1565582680
225,Salalah,17.01,54.1,75.2,94,90,2.24,1565582653
226,Watertown,44.9,-97.12,68,93,1,3.36,1565582654
227,Khasan,42.43,130.64,67.3,97,100,4.94,1565582681
228,Humboldt,52.21,-105.12,57.94,64,65,8.23,1565582681
229,Mount Pleasant,33.16,-94.97,86,74,1,6.11,1565582681
230,Sangar,63.92,127.47,76.3,38,0,1.03,1565582682
231,Codrington,-28.95,153.24,66.99,34,0,13.87,1565582682
232,Sapa,14.32,120.76,86,74,75,17.22,1565582682
233,Zapolyarnyy,69.43,30.82,50,93,0,16.11,1565582682
234,Copiapo,-27.37,-70.33,60.8,55,0,8.05,1565582649
235,Tabuk,17.41,121.44,70.72,93,100,7.31,1565582683
236,Bowen,-20.01,148.25,75.99,19,0,10.29,1565582683
237,Mayo,63.59,-135.9,62.6,51,90,7.72,1565582684
238,San Jose,14.25,-87.96,78.8,74,20,4.7,1565582684
239,Ancud,-41.87,-73.83,42.8,93,90,3.36,1565582684
240,Burnie,-41.05,145.91,57.99,52,100,4,1565582685
241,Todos Santos,23.45,-110.23,84,65,40,3.67,1565582685
242,Dingle,11,122.67,88,61,76,11.77,1565582685
243,Avanigadda,16.02,80.92,86,70,75,10.29,1565582685
244,Torbay,47.66,-52.73,63,93,90,13.87,1565582686
245,Imeni Poliny Osipenko,52.42,136.49,76.65,47,0,4.25,1565582686
246,Ambilobe,-13.19,49.05,65.67,72,0,10.63,1565582686
247,Kitui,-1.37,38.02,60.45,88,98,4.25,1565582687
248,Kaeo,-35.1,173.78,60.01,100,62,15.64,1565582687
249,College,64.86,-147.8,71.6,40,1,9.17,1565582687
250,Mombetsu,44.35,143.35,73,88,75,1.12,1565582688
251,Pevek,69.7,170.27,36.7,93,9,27.96,1565582688
252,Daru,-9.07,143.21,79.9,71,100,9.91,1565582688
253,Douentza,15.01,-2.95,83.32,55,0,6.13,1565582688
254,Sosnytsya,51.52,32.5,58.47,94,2,1.21,1565582689
255,Tighina,44.57,24.3,72,77,0,6.93,1565582689
256,Ozinki,51.2,49.73,55.6,82,100,17.05,1565582690
257,Bodden Town,19.28,-81.25,84.2,83,20,7.23,1565582690
258,Zeya,53.74,127.27,75.94,37,0,7.99,1565582690
259,Calbuco,-41.77,-73.13,41,100,75,4.59,1565582691
260,Tayga,64.77,43.49,39.22,80,29,0.45,1565582691
261,Cayenne,4.94,-52.33,73.4,100,0,2.68,1565582691
262,Mariakani,-3.87,39.47,65.14,92,27,5.53,1565582691
263,Presidencia Roque Saenz Pena,-26.79,-60.44,59.02,82,30,5.77,1565582692
264,Bud,62.91,6.91,59,93,100,6.93,1565582692
265,Imbituba,-28.24,-48.67,66.2,77,75,13.87,1565582693
266,Amazar,53.86,120.88,76.47,40,0,7.18,1565582693
267,Bambous Virieux,-20.34,57.76,73,94,75,10.29,1565582693
268,Cawayan,9.81,123.54,89.6,62,75,9.17,1565582694
269,Yar-Sale,66.83,70.83,47.85,73,100,14.12,1565582694
270,Victor Harbor,-35.55,138.62,55,76,75,8.05,1565582694
271,Clyde River,70.47,-68.59,41,93,90,10.29,1565582694
272,Lar,27.66,54.32,86,40,0,1.66,1565582695
273,Leningradskiy,69.38,178.42,40.12,94,92,17.05,1565582695
274,Saint Augustine,10.65,-61.4,80.6,83,40,8.9,1565582695
275,Saint-Louis,16.03,-16.5,80.6,83,0,9.17,1565582696
276,Tagusao,9.19,117.81,85.65,69,95,7.25,1565582696
277,Mentougou,39.94,116.09,82,61,0,11.18,1565582696
278,Touros,-5.2,-35.46,71.6,94,0,4.7,1565582696
279,Vardo,39.62,-77.74,66.99,88,1,4.12,1565582697
280,Talakan,50.29,130.28,76.47,49,0,5.99,1565582697
281,Puerto Del Rosario,28.5,-13.86,71.6,73,0,17.22,1565582698
282,Dalbandin,28.9,64.41,85.47,49,100,6.51,1565582698
283,Abu Samrah,35.3,37.18,69.1,78,0,8.95,1565582699
284,Hobyo,5.35,48.53,73.95,75,0,16.93,1565582699
285,Diffa,13.32,12.61,78.82,72,100,20.65,1565582699
286,Faya,18.39,42.45,64.4,93,20,5.39,1565582700
287,Chimore,-16.98,-65.13,69.1,64,2,4.41,1565582700
288,Bahir Dar,11.59,37.39,57.75,97,100,4.14,1565582420
289,Killybegs,54.63,-8.45,56.67,73,18,12.73,1565582701
290,Vila Franca Do Campo,37.72,-25.43,68,82,20,9.17,1565582701
291,Linxia,35.6,103.21,69.82,36,0,4.81,1565582701
292,Vysha,53.85,42.38,48.57,94,87,5.06,1565582702
293,Fengzhen,40.43,113.15,71.07,51,0,14.43,1565582702
294,Labuhan,-2.54,115.51,92.5,45,2,2.62,1565582702
295,Aasiaat,68.71,-52.87,45.34,62,78,20.98,1565582703
296,Cidreira,-30.17,-50.22,58.84,93,95,3.83,1565582703
297,Novyy Urengoy,66.08,76.63,51.82,55,47,2.8,1565582703
298,Ilhabela,-23.78,-45.36,69.82,85,2,6.62,1565582704
299,Tuatapere,-46.13,167.69,45,88,91,7,1565582704
300,Simao,22.76,100.79,79.35,69,60,2.42,1565582704
301,Neiafu,-18.65,-173.98,80.6,78,20,10.29,1565582705
302,Oga,46.46,10.35,59,100,90,1.12,1565582705
303,Kyabe,9.45,18.94,69.82,96,100,1.7,1565582705
304,Ampanihy,-24.69,44.75,63.15,71,0,6.13,1565582706
305,Walvis Bay,-22.95,14.51,57.2,87,0,3.36,1565582706
306,Meteti,8.5,-77.98,75.94,97,100,2.37,1565582706
307,Matara,-3.48,29.48,50.37,77,23,1.19,1565582706
308,Zhaotong,27.34,103.71,71.62,67,0,2.89,1565582614
309,Waingapu,-9.65,120.26,84.75,52,50,12.35,1565582707
310,Liptovsky Hradok,49.04,19.72,66.99,100,20,2.24,1565582707
311,Hasaki,35.73,140.83,89.6,66,75,9.17,1565582707
312,Auburn,44.1,-70.23,66.2,77,1,4.7,1565582708
313,Challans,46.85,-1.88,59,93,0,5.82,1565582708
314,Rio Grande,-32.03,-52.1,53.44,95,91,4.72,1565582418
315,Cherskiy,68.75,161.3,60.1,54,36,14.43,1565582709
316,Tiarei,-17.53,-149.33,82.4,69,20,6.93,1565582709
317,Poum,41.28,20.71,60.8,72,0,3.36,1565582709
318,Guastatoya,14.85,-90.07,68,77,0,16.11,1565582710
319,Shingu,33.72,135.99,89.6,66,75,4.7,1565582710
320,Alekseyevka,53.25,50.49,51.8,93,75,17.9,1565582710
321,Pangody,65.85,74.49,54.34,58,98,17.69,1565582711
322,Shelburne,44.08,-80.2,70,82,1,2.24,1565582712
323,Hamilton,43.26,-79.87,72,88,20,5.82,1565582499
324,Elk City,35.41,-99.4,89.6,40,1,11.41,1565582712
325,Boende,-0.28,20.88,71.25,93,13,2.53,1565582713
326,Quatre Cocos,-20.21,57.76,73,94,75,10.29,1565582713
327,Aracaju,-10.92,-37.08,78.8,74,40,11.41,1565582713
328,Ilulissat,69.22,-51.1,44.25,57,95,7.43,1565582714
329,Lasa,34.92,32.53,73.4,56,20,6.93,1565582714
330,Tilichiki,60.47,166.1,59.2,75,100,5.82,1565582714
331,Novoagansk,61.94,76.66,61.35,60,45,10.09,1565582714
332,Craig,40.52,-107.55,64.4,87,1,5.46,1565582715
333,Kulhudhuffushi,6.62,73.07,83.67,76,100,14.99,1565582715
334,Pinillos,8.92,-74.46,77.55,97,98,4.7,1565582715
335,Llata,-9.55,-76.82,36.34,94,0,2.04,1565582716
336,Chara,39.42,22.43,73.4,78,0,1.54,1565582716
337,San Juan,-31.54,-68.53,38.85,23,0,0.94,1565582716
338,Zhangjiakou,40.77,114.88,66.75,67,82,14.54,1565582717
339,Deputatskiy,69.3,139.9,67.3,37,13,15.5,1565582717
340,Palmer,-34.85,139.16,55,76,75,8.05,1565582718
341,Eidsvag,62.78,8.07,59,93,100,4.7,1565582718
342,Niquelandia,-14.47,-48.46,69.45,46,0,3.65,1565582432
343,Lahij,13.06,44.88,89.25,51,12,8.43,1565582718
344,Boddam,57.47,-1.78,52,87,75,6.93,1565582719
345,Rocha,-34.48,-54.34,45.34,93,100,4.63,1565582719
346,Opuwo,-18.06,13.84,53.44,70,0,1.23,1565582469
347,Saint George,39.45,22.34,73.4,78,0,1.54,1565582719
348,Balkhash,46.84,74.98,78.8,22,0,20.13,1565582720
349,Polovinnoye,54.79,65.99,70,58,85,5.55,1565582720
350,Takapau,-40.02,176.35,48,86,100,14.9,1565582720
351,Zhenhai,29.95,121.71,91.4,63,40,4.47,1565582721
352,Campbeltown,55.43,-5.61,48.2,93,99,1.12,1565582721
353,Santa Rosa,-36.62,-64.29,47.14,41,0,6.87,1565582516
354,Peleduy,59.63,112.75,68.37,50,100,9.64,1565582722
355,Constitucion,23.99,-104.67,71.6,49,40,10.29,1565582723
356,Villarrica,-39.28,-72.23,46.4,93,75,8.05,1565582723
357,Dongsheng,29.72,112.52,90.15,64,0,1.72,1565582724
358,Dabakala,8.36,-4.43,68.02,97,4,5.1,1565582724
359,Tamiahua,21.28,-97.45,83.32,85,33,9.01,1565582724
360,Bilma,18.69,12.92,90.34,15,0,12.5,1565582725
361,Uray,60.13,64.8,66.04,89,100,10.45,1565582725
362,Chester,53.19,-2.89,55,93,0,3.36,1565582725
363,Starosubkhangulovo,53.1,57.43,54.15,98,88,5.17,1565582725
364,Alekseyevskoye,45.2,43.58,62.8,53,0,5.32,1565582726
365,Ewa Beach,21.32,-158.01,87.8,65,90,9.17,1565582726
366,Vila Velha,-3.71,-38.6,78.8,74,40,12.75,1565582727
367,Gat,14.69,-16.54,77,78,20,9.17,1565582727
368,Dumas,21.09,72.71,82.4,88,75,3.36,1565582727
369,Sao Filipe,14.9,-24.5,75.4,86,0,17.74,1565582728
370,Moose Factory,51.26,-80.61,59,77,75,8.05,1565582728
371,Troitskoye,52.98,84.68,66.04,55,0,5.61,1565582728
372,Cairns,-16.92,145.77,75.99,41,0,18.34,1565582549
373,Cururupu,-1.82,-44.87,72.34,97,0,2.82,1565582729
374,Nizwa,22.93,57.53,86.92,38,100,2.93,1565582730
375,Palora,-1.7,-77.97,66.75,68,100,2.33,1565582730
376,Aksu,52.04,76.93,82.4,28,0,8.95,1565582730
377,Kampot,10.62,104.18,86,79,40,11.41,1565582731
378,Wattegama,7.35,80.68,79.54,72,54,8.1,1565582731
379,Lashio,22.93,97.75,80.8,74,97,1.12,1565582731
380,Kuusamo,65.96,29.19,50,81,0,6.93,1565582731
381,Dukat,40.25,19.57,81,48,0,2.37,1565582732
382,Bilibino,68.06,166.44,64.24,45,13,11.27,1565582732
383,Sept-Iles,50.2,-66.38,60.8,77,20,8.05,1565582732
384,Marsh Harbour,26.54,-77.06,85.47,73,85,13.15,1565582733
385,Buraydah,26.33,43.97,75.2,36,0,6.93,1565582733
386,Parsons,37.34,-95.26,86,94,1,9.33,1565582733
387,Soyo,-6.13,12.37,71.97,83,0,8.68,1565582734
388,Adrar,27.87,-0.29,91.4,11,0,6.93,1565582734
389,Itaqui,-29.13,-56.55,58.47,90,99,4.56,1565582464
390,Nogales,-32.73,-71.2,50,71,0,3.36,1565582735
391,Dillon,45.22,-112.64,55.99,64,56,8.99,1565582735
392,Okhotsk,59.36,143.24,54.15,95,100,6.02,1565582736
393,Esperance,-33.86,121.89,60.8,67,0,12.75,1565582737
394,Talas,42.52,72.24,59,94,0,4.16,1565582737
395,Muravlenko,63.79,74.5,58.84,55,100,17.69,1565582737
396,Kommunisticheskiy,61.68,64.48,62.44,95,100,6.96,1565582738
397,Waipawa,-39.94,176.59,48,86,100,6.62,1565582738
398,Slave Lake,55.28,-114.77,60.8,77,75,6.93,1565582738
399,Vostok,46.45,135.83,61.9,99,100,2.71,1565582739
400,Saldanha,41.42,-6.55,50.55,89,0,2.24,1565582739
401,Eureka,40.8,-124.16,64,87,1,5.82,1565582552
402,Lima,-12.06,-77.04,59,87,90,6.93,1565582739
403,Rongcheng,37.16,122.42,71.01,43,100,16.04,1565582740
404,Konstantinovka,46.85,29.85,68.74,65,1,5.82,1565582740
405,Terrace,54.52,-128.61,66.2,52,75,17.22,1565582740
406,Broome,52.47,1.45,57.99,93,19,4.7,1565582740
407,Ternate,14.29,120.72,86,74,75,17.22,1565582741
408,Baruun-Urt,46.68,113.28,68.92,53,73,7.31,1565582741
409,Conceicao Do Araguaia,-8.26,-49.26,72.87,44,0,2.89,1565582511
410,Aranos,-24.14,19.11,48.4,22,0,7.07,1565582742
411,Misratah,32.38,15.09,81.34,78,0,9.89,1565582742
